Model,Accuracy (%),Training Time (s)
SVM (RBF),57.599999999999994,15.26296854019165
Logistic Regression,49.55,1.9180190563201904
SVM (Linear),49.25,369.0032260417938
KNN,45.7,0.007800102233886719
Random Forest,45.65,30.5613431930542
Decision Tree,25.650000000000002,2.576303720474243
